"Month_Year","Borough_SNT","Count"
2020-12-01,"Barking and Dagenham",1641
2021-01-01,"Barking and Dagenham",1564
2021-02-01,"Barking and Dagenham",1570
2021-03-01,"Barking and Dagenham",1777
2021-04-01,"Barking and Dagenham",1704
2021-05-01,"Barking and Dagenham",1809
2021-06-01,"Barking and Dagenham",1917
2021-07-01,"Barking and Dagenham",1846
2021-08-01,"Barking and Dagenham",1735
2021-09-01,"Barking and Dagenham",1773
2021-10-01,"Barking and Dagenham",1954
2021-11-01,"Barking and Dagenham",1883
2021-12-01,"Barking and Dagenham",1712
2022-01-01,"Barking and Dagenham",1806
2022-02-01,"Barking and Dagenham",1771
2022-03-01,"Barking and Dagenham",1955
2022-04-01,"Barking and Dagenham",1733
2022-05-01,"Barking and Dagenham",1868
2022-06-01,"Barking and Dagenham",1942
2022-07-01,"Barking and Dagenham",1821
2022-08-01,"Barking and Dagenham",1858
2022-09-01,"Barking and Dagenham",1803
2022-10-01,"Barking and Dagenham",1991
2022-11-01,"Barking and Dagenham",2004
2022-12-01,"Barking and Dagenham",1899
2023-01-01,"Barking and Dagenham",1946
2023-02-01,"Barking and Dagenham",1890
2023-03-01,"Barking and Dagenham",1960
2023-04-01,"Barking and Dagenham",1825
2023-05-01,"Barking and Dagenham",2100
2023-06-01,"Barking and Dagenham",2072
2023-07-01,"Barking and Dagenham",2130
2023-08-01,"Barking and Dagenham",2034
2023-09-01,"Barking and Dagenham",2130
2023-10-01,"Barking and Dagenham",1683
2023-11-01,"Barking and Dagenham",1747
2023-12-01,"Barking and Dagenham",1835
2024-01-01,"Barking and Dagenham",1839
2024-02-01,"Barking and Dagenham",1799
2024-03-01,"Barking and Dagenham",1839
2024-04-01,"Barking and Dagenham",1644
2024-05-01,"Barking and Dagenham",1776
2024-06-01,"Barking and Dagenham",1736
2024-07-01,"Barking and Dagenham",1847
2024-08-01,"Barking and Dagenham",1685
2024-09-01,"Barking and Dagenham",1857
2024-10-01,"Barking and Dagenham",2069
2024-11-01,"Barking and Dagenham",2057
2020-12-01,"Barnet",2368
2021-01-01,"Barnet",2023
2021-02-01,"Barnet",2092
2021-03-01,"Barnet",2732
2021-04-01,"Barnet",2455
2021-05-01,"Barnet",2580
2021-06-01,"Barnet",2676
2021-07-01,"Barnet",2472
2021-08-01,"Barnet",2303
2021-09-01,"Barnet",2430
2021-10-01,"Barnet",2608
2021-11-01,"Barnet",2463
2021-12-01,"Barnet",2399
2022-01-01,"Barnet",2463
2022-02-01,"Barnet",2405
2022-03-01,"Barnet",2646
2022-04-01,"Barnet",2329
2022-05-01,"Barnet",2684
2022-06-01,"Barnet",2439
2022-07-01,"Barnet",2443
2022-08-01,"Barnet",2432
2022-09-01,"Barnet",2464
2022-10-01,"Barnet",2499
2022-11-01,"Barnet",2625
2022-12-01,"Barnet",2264
2023-01-01,"Barnet",2531
2023-02-01,"Barnet",2288
2023-03-01,"Barnet",2595
2023-04-01,"Barnet",2342
2023-05-01,"Barnet",2549
2023-06-01,"Barnet",2559
2023-07-01,"Barnet",2614
2023-08-01,"Barnet",2387
2023-09-01,"Barnet",2393
2023-10-01,"Barnet",2571
2023-11-01,"Barnet",2650
2023-12-01,"Barnet",2468
2024-01-01,"Barnet",2508
2024-02-01,"Barnet",2486
2024-03-01,"Barnet",2420
2024-04-01,"Barnet",2347
2024-05-01,"Barnet",2512
2024-06-01,"Barnet",2448
2024-07-01,"Barnet",2628
2024-08-01,"Barnet",2363
2024-09-01,"Barnet",2541
2024-10-01,"Barnet",2674
2024-11-01,"Barnet",2708
2020-12-01,"Bexley",1325
2021-01-01,"Bexley",1249
2021-02-01,"Bexley",1142
2021-03-01,"Bexley",1375
2021-04-01,"Bexley",1288
2021-05-01,"Bexley",1329
2021-06-01,"Bexley",1405
2021-07-01,"Bexley",1399
2021-08-01,"Bexley",1362
2021-09-01,"Bexley",1409
2021-10-01,"Bexley",1486
2021-11-01,"Bexley",1592
2021-12-01,"Bexley",1424
2022-01-01,"Bexley",1418
2022-02-01,"Bexley",1433
2022-03-01,"Bexley",1593
2022-04-01,"Bexley",1334
2022-05-01,"Bexley",1490
2022-06-01,"Bexley",1508
2022-07-01,"Bexley",1347
2022-08-01,"Bexley",1424
2022-09-01,"Bexley",1509
2022-10-01,"Bexley",1468
2022-11-01,"Bexley",1525
2022-12-01,"Bexley",1257
2023-01-01,"Bexley",1487
2023-02-01,"Bexley",1404
2023-03-01,"Bexley",1503
2023-04-01,"Bexley",1432
2023-05-01,"Bexley",1571
2023-06-01,"Bexley",1472
2023-07-01,"Bexley",1521
2023-08-01,"Bexley",1499
2023-09-01,"Bexley",1563
2023-10-01,"Bexley",1448
2023-11-01,"Bexley",1520
2023-12-01,"Bexley",1547
2024-01-01,"Bexley",1563
2024-02-01,"Bexley",1420
2024-03-01,"Bexley",1572
2024-04-01,"Bexley",1518
2024-05-01,"Bexley",1424
2024-06-01,"Bexley",1590
2024-07-01,"Bexley",1593
2024-08-01,"Bexley",1537
2024-09-01,"Bexley",1409
2024-10-01,"Bexley",1565
2024-11-01,"Bexley",1550
2020-12-01,"Brent",2521
2021-01-01,"Brent",2271
2021-02-01,"Brent",2338
2021-03-01,"Brent",2485
2021-04-01,"Brent",2352
2021-05-01,"Brent",2653
2021-06-01,"Brent",2641
2021-07-01,"Brent",2872
2021-08-01,"Brent",2669
2021-09-01,"Brent",2562
2021-10-01,"Brent",2908
2021-11-01,"Brent",2623
2021-12-01,"Brent",2374
2022-01-01,"Brent",2592
2022-02-01,"Brent",2626
2022-03-01,"Brent",2957
2022-04-01,"Brent",2616
2022-05-01,"Brent",2799
2022-06-01,"Brent",2815
2022-07-01,"Brent",2762
2022-08-01,"Brent",2782
2022-09-01,"Brent",2721
2022-10-01,"Brent",2700
2022-11-01,"Brent",2693
2022-12-01,"Brent",2422
2023-01-01,"Brent",2698
2023-02-01,"Brent",2492
2023-03-01,"Brent",2787
2023-04-01,"Brent",2656
2023-05-01,"Brent",3097
2023-06-01,"Brent",3138
2023-07-01,"Brent",3021
2023-08-01,"Brent",2797
2023-09-01,"Brent",2933
2023-10-01,"Brent",2745
2023-11-01,"Brent",2807
2023-12-01,"Brent",2802
2024-01-01,"Brent",2779
2024-02-01,"Brent",2815
2024-03-01,"Brent",2842
2024-04-01,"Brent",2739
2024-05-01,"Brent",2882
2024-06-01,"Brent",3025
2024-07-01,"Brent",2984
2024-08-01,"Brent",2788
2024-09-01,"Brent",2996
2024-10-01,"Brent",3092
2024-11-01,"Brent",2985
2020-12-01,"Bromley",1849
2021-01-01,"Bromley",1702
2021-02-01,"Bromley",1784
2021-03-01,"Bromley",2031
2021-04-01,"Bromley",2061
2021-05-01,"Bromley",2079
2021-06-01,"Bromley",2003
2021-07-01,"Bromley",2155
2021-08-01,"Bromley",1836
2021-09-01,"Bromley",2183
2021-10-01,"Bromley",2277
2021-11-01,"Bromley",2387
2021-12-01,"Bromley",2201
2022-01-01,"Bromley",2164
2022-02-01,"Bromley",2054
2022-03-01,"Bromley",2220
2022-04-01,"Bromley",2077
2022-05-01,"Bromley",2195
2022-06-01,"Bromley",2207
2022-07-01,"Bromley",2227
2022-08-01,"Bromley",2047
2022-09-01,"Bromley",2011
2022-10-01,"Bromley",2042
2022-11-01,"Bromley",2110
2022-12-01,"Bromley",1933
2023-01-01,"Bromley",2042
2023-02-01,"Bromley",2030
2023-03-01,"Bromley",2222
2023-04-01,"Bromley",2024
2023-05-01,"Bromley",2220
2023-06-01,"Bromley",2162
2023-07-01,"Bromley",2211
2023-08-01,"Bromley",2210
2023-09-01,"Bromley",2207
2023-10-01,"Bromley",2030
2023-11-01,"Bromley",2255
2023-12-01,"Bromley",2081
2024-01-01,"Bromley",2082
2024-02-01,"Bromley",2100
2024-03-01,"Bromley",2112
2024-04-01,"Bromley",2062
2024-05-01,"Bromley",2071
2024-06-01,"Bromley",2068
2024-07-01,"Bromley",2285
2024-08-01,"Bromley",2224
2024-09-01,"Bromley",2229
2024-10-01,"Bromley",2216
2024-11-01,"Bromley",2304
2020-12-01,"Camden",2227
2021-01-01,"Camden",1845
2021-02-01,"Camden",1876
2021-03-01,"Camden",2277
2021-04-01,"Camden",2320
2021-05-01,"Camden",2579
2021-06-01,"Camden",2751
2021-07-01,"Camden",2853
2021-08-01,"Camden",2765
2021-09-01,"Camden",2585
2021-10-01,"Camden",3009
2021-11-01,"Camden",2970
2021-12-01,"Camden",2617
2022-01-01,"Camden",2667
2022-02-01,"Camden",2840
2022-03-01,"Camden",3224
2022-04-01,"Camden",3093
2022-05-01,"Camden",3295
2022-06-01,"Camden",3112
2022-07-01,"Camden",3286
2022-08-01,"Camden",3098
2022-09-01,"Camden",3041
2022-10-01,"Camden",3474
2022-11-01,"Camden",3415
2022-12-01,"Camden",2808
2023-01-01,"Camden",3150
2023-02-01,"Camden",3098
2023-03-01,"Camden",3536
2023-04-01,"Camden",3458
2023-05-01,"Camden",3697
2023-06-01,"Camden",3760
2023-07-01,"Camden",3651
2023-08-01,"Camden",3395
2023-09-01,"Camden",3585
2023-10-01,"Camden",3642
2023-11-01,"Camden",3853
2023-12-01,"Camden",3358
2024-01-01,"Camden",3448
2024-02-01,"Camden",3870
2024-03-01,"Camden",3686
2024-04-01,"Camden",3559
2024-05-01,"Camden",3589
2024-06-01,"Camden",3931
2024-07-01,"Camden",3951
2024-08-01,"Camden",3522
2024-09-01,"Camden",3594
2024-10-01,"Camden",4042
2024-11-01,"Camden",4084
2020-12-01,"Croydon",2775
2021-01-01,"Croydon",2820
2021-02-01,"Croydon",2615
2021-03-01,"Croydon",2990
2021-04-01,"Croydon",2840
2021-05-01,"Croydon",2935
2021-06-01,"Croydon",3053
2021-07-01,"Croydon",3050
2021-08-01,"Croydon",3104
2021-09-01,"Croydon",2962
2021-10-01,"Croydon",3324
2021-11-01,"Croydon",3288
2021-12-01,"Croydon",3013
2022-01-01,"Croydon",3097
2022-02-01,"Croydon",2917
2022-03-01,"Croydon",3145
2022-04-01,"Croydon",2914
2022-05-01,"Croydon",3273
2022-06-01,"Croydon",3191
2022-07-01,"Croydon",3227
2022-08-01,"Croydon",3035
2022-09-01,"Croydon",3197
2022-10-01,"Croydon",3140
2022-11-01,"Croydon",3006
2022-12-01,"Croydon",2740
2023-01-01,"Croydon",2812
2023-02-01,"Croydon",2651
2023-03-01,"Croydon",3074
2023-04-01,"Croydon",2645
2023-05-01,"Croydon",3029
2023-06-01,"Croydon",3207
2023-07-01,"Croydon",3273
2023-08-01,"Croydon",3136
2023-09-01,"Croydon",3203
2023-10-01,"Croydon",3062
2023-11-01,"Croydon",3141
2023-12-01,"Croydon",2991
2024-01-01,"Croydon",3213
2024-02-01,"Croydon",2947
2024-03-01,"Croydon",3122
2024-04-01,"Croydon",2856
2024-05-01,"Croydon",3073
2024-06-01,"Croydon",3085
2024-07-01,"Croydon",3192
2024-08-01,"Croydon",3358
2024-09-01,"Croydon",3191
2024-10-01,"Croydon",3365
2024-11-01,"Croydon",3248
2020-12-01,"Ealing",2458
2021-01-01,"Ealing",2350
2021-02-01,"Ealing",2234
2021-03-01,"Ealing",2595
2021-04-01,"Ealing",2534
2021-05-01,"Ealing",2642
2021-06-01,"Ealing",2777
2021-07-01,"Ealing",2702
2021-08-01,"Ealing",2412
2021-09-01,"Ealing",2641
2021-10-01,"Ealing",2782
2021-11-01,"Ealing",2887
2021-12-01,"Ealing",2442
2022-01-01,"Ealing",2522
2022-02-01,"Ealing",2513
2022-03-01,"Ealing",2760
2022-04-01,"Ealing",2438
2022-05-01,"Ealing",2799
2022-06-01,"Ealing",2704
2022-07-01,"Ealing",2747
2022-08-01,"Ealing",2661
2022-09-01,"Ealing",2544
2022-10-01,"Ealing",2759
2022-11-01,"Ealing",2655
2022-12-01,"Ealing",2343
2023-01-01,"Ealing",2605
2023-02-01,"Ealing",2612
2023-03-01,"Ealing",2869
2023-04-01,"Ealing",2416
2023-05-01,"Ealing",3013
2023-06-01,"Ealing",2852
2023-07-01,"Ealing",3015
2023-08-01,"Ealing",2844
2023-09-01,"Ealing",3003
2023-10-01,"Ealing",2883
2023-11-01,"Ealing",2892
2023-12-01,"Ealing",2710
2024-01-01,"Ealing",2700
2024-02-01,"Ealing",2776
2024-03-01,"Ealing",2755
2024-04-01,"Ealing",2594
2024-05-01,"Ealing",2666
2024-06-01,"Ealing",2834
2024-07-01,"Ealing",2888
2024-08-01,"Ealing",2616
2024-09-01,"Ealing",2749
2024-10-01,"Ealing",2911
2024-11-01,"Ealing",2970
2020-12-01,"Enfield",2444
2021-01-01,"Enfield",2279
2021-02-01,"Enfield",2065
2021-03-01,"Enfield",2776
2021-04-01,"Enfield",2532
2021-05-01,"Enfield",2730
2021-06-01,"Enfield",2784
2021-07-01,"Enfield",2615
2021-08-01,"Enfield",2560
2021-09-01,"Enfield",2566
2021-10-01,"Enfield",2767
2021-11-01,"Enfield",2841
2021-12-01,"Enfield",2694
2022-01-01,"Enfield",2751
2022-02-01,"Enfield",2605
2022-03-01,"Enfield",3050
2022-04-01,"Enfield",2511
2022-05-01,"Enfield",2917
2022-06-01,"Enfield",2942
2022-07-01,"Enfield",2787
2022-08-01,"Enfield",2724
2022-09-01,"Enfield",2602
2022-10-01,"Enfield",2691
2022-11-01,"Enfield",2736
2022-12-01,"Enfield",2451
2023-01-01,"Enfield",2825
2023-02-01,"Enfield",2415
2023-03-01,"Enfield",2796
2023-04-01,"Enfield",2445
2023-05-01,"Enfield",2756
2023-06-01,"Enfield",2699
2023-07-01,"Enfield",2590
2023-08-01,"Enfield",2484
2023-09-01,"Enfield",2670
2023-10-01,"Enfield",2493
2023-11-01,"Enfield",2642
2023-12-01,"Enfield",2652
2024-01-01,"Enfield",2631
2024-02-01,"Enfield",2386
2024-03-01,"Enfield",2381
2024-04-01,"Enfield",2417
2024-05-01,"Enfield",2690
2024-06-01,"Enfield",2574
2024-07-01,"Enfield",2610
2024-08-01,"Enfield",2568
2024-09-01,"Enfield",2936
2024-10-01,"Enfield",2903
2024-11-01,"Enfield",2929
2020-12-01,"Greenwich",2032
2021-01-01,"Greenwich",2048
2021-02-01,"Greenwich",1993
2021-03-01,"Greenwich",2492
2021-04-01,"Greenwich",2282
2021-05-01,"Greenwich",2520
2021-06-01,"Greenwich",2508
2021-07-01,"Greenwich",2448
2021-08-01,"Greenwich",2317
2021-09-01,"Greenwich",2347
2021-10-01,"Greenwich",2548
2021-11-01,"Greenwich",2572
2021-12-01,"Greenwich",2249
2022-01-01,"Greenwich",2392
2022-02-01,"Greenwich",2355
2022-03-01,"Greenwich",2693
2022-04-01,"Greenwich",2258
2022-05-01,"Greenwich",2591
2022-06-01,"Greenwich",2582
2022-07-01,"Greenwich",2600
2022-08-01,"Greenwich",2375
2022-09-01,"Greenwich",2327
2022-10-01,"Greenwich",2521
2022-11-01,"Greenwich",2455
2022-12-01,"Greenwich",2141
2023-01-01,"Greenwich",2389
2023-02-01,"Greenwich",2296
2023-03-01,"Greenwich",2502
2023-04-01,"Greenwich",2344
2023-05-01,"Greenwich",2716
2023-06-01,"Greenwich",2821
2023-07-01,"Greenwich",2719
2023-08-01,"Greenwich",2496
2023-09-01,"Greenwich",2711
2023-10-01,"Greenwich",2335
2023-11-01,"Greenwich",2513
2023-12-01,"Greenwich",2506
2024-01-01,"Greenwich",2549
2024-02-01,"Greenwich",2273
2024-03-01,"Greenwich",2399
2024-04-01,"Greenwich",2286
2024-05-01,"Greenwich",2573
2024-06-01,"Greenwich",2483
2024-07-01,"Greenwich",2498
2024-08-01,"Greenwich",2485
2024-09-01,"Greenwich",2695
2024-10-01,"Greenwich",2751
2024-11-01,"Greenwich",2736
2020-12-01,"Hackney",2558
2021-01-01,"Hackney",2457
2021-02-01,"Hackney",2269
2021-03-01,"Hackney",2542
2021-04-01,"Hackney",2560
2021-05-01,"Hackney",2717
2021-06-01,"Hackney",2823
2021-07-01,"Hackney",3011
2021-08-01,"Hackney",2785
2021-09-01,"Hackney",3155
2021-10-01,"Hackney",3374
2021-11-01,"Hackney",3210
2021-12-01,"Hackney",2633
2022-01-01,"Hackney",2854
2022-02-01,"Hackney",2592
2022-03-01,"Hackney",3026
2022-04-01,"Hackney",2674
2022-05-01,"Hackney",3217
2022-06-01,"Hackney",3046
2022-07-01,"Hackney",2951
2022-08-01,"Hackney",2846
2022-09-01,"Hackney",2652
2022-10-01,"Hackney",2992
2022-11-01,"Hackney",2852
2022-12-01,"Hackney",2461
2023-01-01,"Hackney",2654
2023-02-01,"Hackney",2518
2023-03-01,"Hackney",2877
2023-04-01,"Hackney",2511
2023-05-01,"Hackney",2918
2023-06-01,"Hackney",3115
2023-07-01,"Hackney",3058
2023-08-01,"Hackney",2880
2023-09-01,"Hackney",2910
2023-10-01,"Hackney",2864
2023-11-01,"Hackney",2958
2023-12-01,"Hackney",2916
2024-01-01,"Hackney",3012
2024-02-01,"Hackney",2860
2024-03-01,"Hackney",2804
2024-04-01,"Hackney",2854
2024-05-01,"Hackney",3187
2024-06-01,"Hackney",2878
2024-07-01,"Hackney",2906
2024-08-01,"Hackney",3074
2024-09-01,"Hackney",3038
2024-10-01,"Hackney",3317
2024-11-01,"Hackney",3239
2020-12-01,"Hammersmith and Fulham",1562
2021-01-01,"Hammersmith and Fulham",1502
2021-02-01,"Hammersmith and Fulham",1468
2021-03-01,"Hammersmith and Fulham",1795
2021-04-01,"Hammersmith and Fulham",1678
2021-05-01,"Hammersmith and Fulham",1901
2021-06-01,"Hammersmith and Fulham",1957
2021-07-01,"Hammersmith and Fulham",1935
2021-08-01,"Hammersmith and Fulham",1701
2021-09-01,"Hammersmith and Fulham",1940
2021-10-01,"Hammersmith and Fulham",1958
2021-11-01,"Hammersmith and Fulham",1987
2021-12-01,"Hammersmith and Fulham",1716
2022-01-01,"Hammersmith and Fulham",1692
2022-02-01,"Hammersmith and Fulham",1718
2022-03-01,"Hammersmith and Fulham",1868
2022-04-01,"Hammersmith and Fulham",1807
2022-05-01,"Hammersmith and Fulham",1845
2022-06-01,"Hammersmith and Fulham",1866
2022-07-01,"Hammersmith and Fulham",1872
2022-08-01,"Hammersmith and Fulham",1970
2022-09-01,"Hammersmith and Fulham",1867
2022-10-01,"Hammersmith and Fulham",1875
2022-11-01,"Hammersmith and Fulham",1732
