Year,England,Wales,Affordability Threshold
1997,3.54,3,5
1998,3.67,3.04,5
1999,3.96,3.16,5
2000,4.19,3.26,5
2001,4.5,3.33,5
2002,5.12,3.71,5
2003,5.93,4.31,5
2004,6.6,5.43,5
2005,6.79,6.01,5
2006,6.95,6.25,5
2007,7.15,6.59,5
2008,6.97,6.32,5
2009,6.4,5.7,5
2010,6.85,5.82,5
2011,6.8,5.6,5
2012,6.77,5.63,5
2013,6.76,5.54,5
2014,7.09,5.64,5
2015,7.52,5.75,5
2016,7.72,5.82,5
2017,7.91,5.76,5
2018,8.04,5.92,5
2019,7.88,5.83,5
2020,7.86,5.88,5
2021,9.06,6.56,5
2022,8.47,6.37,5
2023,8.26,6.07,5